id,kind,title,abstract,org,year,status,url,source,is_synthetic
SYN-00001,paper,Novel rare earth alloy and cathode materials for battery and magnet applications,This paper describes a rare earth alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT Madras,2016,Published,,SYNTHETIC-DEMO,True
SYN-00002,patent,Improved froth flotation and magnetic separation process for beneficiation of rare earth ore,This patent describes a froth flotation and magnetic separation process for beneficiation of rare earth ore. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2017,Published,,SYNTHETIC-DEMO,True
SYN-00003,paper,Novel nickel alloy and cathode materials for battery and magnet applications,This paper describes a nickel alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT (ISM) Dhanbad,2022,Published,,SYNTHETIC-DEMO,True
SYN-00004,paper,Improved geochemical survey and remote sensing approach for lithium exploration,This paper describes a geochemical survey and remote sensing approach for lithium exploration. Results indicate higher recovery and lower energy use than conventional routes.,IIT (ISM) Dhanbad,2020,Published,,SYNTHETIC-DEMO,True
SYN-00005,patent,Selective open-pit mining planning method for nickel ore bodies,This patent describes a open-pit mining planning method for nickel ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-NML,2016,Under examination,,SYNTHETIC-DEMO,True
SYN-00006,patent,Energy-efficient open-pit mining planning method for graphite ore bodies,This patent describes a open-pit mining planning method for graphite ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,IIT (ISM) Dhanbad,2024,Under examination,,SYNTHETIC-DEMO,True
SYN-00007,paper,Scalable geochemical survey and remote sensing approach for rare earth exploration,This paper describes a geochemical survey and remote sensing approach for rare earth exploration. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-NML,2020,Published,,SYNTHETIC-DEMO,True
SYN-00008,patent,Scalable hydrometallurgy route using acid leaching and solvent extraction for cobalt refining,This patent describes a hydrometallurgy route using acid leaching and solvent extraction for cobalt refining. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2024,Published,,SYNTHETIC-DEMO,True
SYN-00009,paper,Improved hydrometallurgy route using acid leaching and solvent extraction for rare earth refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for rare earth refining. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-NML,2015,Published,,SYNTHETIC-DEMO,True
SYN-00010,paper,Energy-efficient froth flotation and magnetic separation process for beneficiation of vanadium ore,This paper describes a froth flotation and magnetic separation process for beneficiation of vanadium ore. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-IMMT,2018,Published,,SYNTHETIC-DEMO,True
SYN-00011,project,Selective graphite alloy and cathode materials for battery and magnet applications,This project describes a graphite alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT (ISM) Dhanbad,2021,Ongoing,,SYNTHETIC-DEMO,True
SYN-00012,paper,Novel lithium alloy and cathode materials for battery and magnet applications,This paper describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT Kharagpur,2021,Published,,SYNTHETIC-DEMO,True
SYN-00013,patent,Improved lithium alloy and cathode materials for battery and magnet applications,This patent describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IISc Bangalore,2021,Published,,SYNTHETIC-DEMO,True
SYN-00014,project,Improved geochemical survey and remote sensing approach for lithium exploration,This project describes a geochemical survey and remote sensing approach for lithium exploration. Results indicate higher recovery and lower energy use than conventional routes.,KABIL,2022,Ongoing,,SYNTHETIC-DEMO,True
SYN-00015,paper,Selective hydrometallurgy route using acid leaching and solvent extraction for cobalt refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for cobalt refining. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-IMMT,2018,Published,,SYNTHETIC-DEMO,True
